;;
2022-01-03;78,00 $;
2022-01-04;78,93 $;
2022-01-05;80,07 $;
2022-01-06;80,80 $;
2022-01-07;82,16 $;
2022-01-10;81,75 $;
2022-01-11;82,13 $;
2022-01-12;84,35 $;
2022-01-13;84,72 $;
2022-01-14;85,46 $;
2022-01-17;86,54 $;
2022-01-18;88,08 $;
2022-01-19;88,50 $;
2022-01-20;88,55 $;
2022-01-21;87,46 $;
2022-01-24;87,98 $;
2022-01-25;87,35 $;
2022-01-26;89,35 $;
2022-01-27;90,20 $;
2022-01-28;90,14 $;
2022-01-31;90,89 $;
2022-02-01;90,46 $;
2022-02-02;90,18 $;
2022-02-03;89,98 $;
2022-02-04;92,84 $;
2022-02-07;93,42 $;
2022-02-08;92,17 $;
2022-02-09;91,84 $;
2022-02-10;92,87 $;
2022-02-11;92,85 $;
2022-02-14;95,17 $;
2022-02-15;94,73 $;
2022-02-16;95,32 $;
2022-02-17;94,03 $;
2022-02-18;92,79 $;
2022-02-21;94,30 $;
2022-02-22;97,94 $;
2022-02-23;96,10 $;
2022-02-24;101,22 $;
2022-02-25;96,67 $;
2022-02-28;99,22 $;
2022-03-01;103,89 $;
2022-03-02;112,20 $;
2022-03-03;117,06 $;
2022-03-04;113,15 $;
2022-03-07;126,51 $;
2022-03-08;127,93 $;
2022-03-09;128,46 $;
2022-03-10;117,23 $;
2022-03-11;113,29 $;
2022-03-14;110,67 $;
2022-03-15;102,86 $;
2022-03-16;104,06 $;
2022-03-17;104,96 $;
2022-03-18;109,12 $;
2022-03-21;113,81 $;
2022-03-22;114,60 $;
2022-03-23;116,79 $;
2022-03-24;118,72 $;
2022-03-25;115,99 $;
2022-03-28;113,39 $;
2022-03-29;110,05 $;
2022-03-30;110,46 $;
2022-03-31;107,74 $;
2022-04-01;104,90 $;
2022-04-04;106,23 $;
2022-04-05;108,05 $;
2022-04-06;106,13 $;
2022-04-07;100,12 $;
2022-04-08;101,06 $;
2022-04-11;100,08 $;
2022-04-12;102,41 $;
2022-04-13;106,07 $;
2022-04-14;108,52 $;
2022-04-18;110,54 $;
2022-04-19;110,52 $;
2022-04-20;107,97 $;
2022-04-21;108,81 $;
2022-04-22;107,66 $;
2022-04-25;101,93 $;
2022-04-26;102,94 $;
2022-04-27;105,33 $;
2022-04-28;105,30 $;
2022-04-29;107,99 $;
2022-05-02;110,29 $;
2022-05-03;109,80 $;
2022-05-04;110,83 $;
2022-05-05;113,04 $;
2022-05-06;114,37 $;
2022-05-09;112,48 $;
2022-05-10;108,18 $;
2022-05-11;109,02 $;
2022-05-12;109,30 $;
2022-05-13;112,37 $;
2022-05-16;113,07 $;
2022-05-17;117,20 $;
2022-05-18;114,94 $;
2022-05-19;112,04 $;
2022-05-20;114,69 $;
2022-05-23;115,95 $;
2022-05-24;114,96 $;
2022-05-25;115,83 $;
2022-05-26;116,50 $;
2022-05-27;118,84 $;
2022-05-30;120,01 $;
2022-05-31;122,94 $;
2022-06-01;117,07 $;
2022-06-02;114,62 $;
2022-06-03;117,15 $;
2022-06-06;119,85 $;
2022-06-07;120,16 $;
2022-06-08;121,54 $;
2022-06-09;123,21 $;
2022-06-10;123,19 $;
2022-06-13;120,66 $;
2022-06-14;123,73 $;
2022-06-15;121,07 $;
2022-06-16;119,24 $;
2022-06-17;118,97 $;
2022-06-20;113,39 $;
2022-06-21;115,97 $;
2022-06-22;111,00 $;
2022-06-23;111,09 $;
2022-06-24;112,35 $;
2022-06-27;114,88 $;
2022-06-28;117,55 $;
2022-06-29;117,64 $;
2022-06-30;115,60 $;
2022-07-01;113,20 $;
2022-07-04;115,30 $;
2022-07-05;114,30 $;
2022-07-06;106,73 $;
2022-07-07;105,30 $;
2022-07-08;109,07 $;
2022-07-11;108,86 $;
2022-07-12;106,86 $;
2022-07-13;104,41 $;
2022-07-14;102,66 $;
2022-07-15;104,39 $;
2022-07-18;108,76 $;
2022-07-19;110,27 $;
2022-07-20;109,93 $;
2022-07-21;107,50 $;
2022-07-22;107,66 $;
2022-07-25;106,27 $;
2022-07-26;109,35 $;
2022-07-27;108,11 $;
2022-07-28;110,84 $;
2022-07-29;110,84 $;
2022-08-01;106,80 $;
2022-08-02;104,86 $;
2022-08-03;104,17 $;
2022-08-04;101,19 $;
2022-08-05;100,01 $;
2022-08-08;100,78 $;
2022-08-09;100,92 $;
2022-08-10;101,29 $;
2022-08-11;103,20 $;
2022-08-12;103,83 $;
2022-08-15;100,04 $;
2022-08-16;97,44 $;
2022-08-17;95,73 $;
2022-08-18;98,22 $;
2022-08-19;99,66 $;
2022-08-22;98,72 $;
2022-08-23;101,93 $;
2022-08-24;104,05 $;
2022-08-25;104,63 $;
2022-08-26;103,89 $;
2022-08-29;104,85 $;
2022-08-30;106,41 $;
2022-08-31;101,04 $;
2022-09-01;98,27 $;
2022-09-02;99,22 $;
2022-09-05;99,84 $;
2022-09-06;99,03 $;
