Fecha;Precio $
04/01/2021;51,35Ê$
05/01/2021;50,75Ê$
06/01/2021;53,29Ê$
07/01/2021;53,84Ê$
08/01/2021;54,39Ê$
11/01/2021;54,76Ê$
12/01/2021;55,41Ê$
13/01/2021;55,81Ê$
14/01/2021;55,19Ê$
15/01/2021;54,68Ê$
18/01/2021;53,92Ê$
19/01/2021;54,85Ê$
20/01/2021;55,75Ê$
21/01/2021;55,14Ê$
22/01/2021;54,69Ê$
25/01/2021;54,85Ê$
26/01/2021;54,87Ê$
27/01/2021;55,31Ê$
28/01/2021;54,36Ê$
29/01/2021;54,41Ê$
01/02/2021;55,13Ê$
02/02/2021;56,80Ê$
03/02/2021;57,72Ê$
04/02/2021;58,25Ê$
05/02/2021;58,92Ê$
08/02/2021;59,58Ê$
09/02/2021;60,28Ê$
10/02/2021;60,45Ê$
11/02/2021;60,54Ê$
12/02/2021;60,77Ê$
15/02/2021;62,60Ê$
16/02/2021;62,48Ê$
17/02/2021;63,04Ê$
18/02/2021;63,43Ê$
19/02/2021;61,30Ê$
22/02/2021;62,01Ê$
23/02/2021;63,73Ê$
24/02/2021;64,00Ê$
25/02/2021;65,42Ê$
26/02/2021;64,37Ê$
01/03/2021;64,24Ê$
02/03/2021;61,97Ê$
03/03/2021;62,15Ê$
04/03/2021;64,26Ê$
05/03/2021;67,03Ê$
08/03/2021;68,17Ê$
09/03/2021;66,38Ê$
10/03/2021;65,60Ê$
11/03/2021;67,39Ê$
12/03/2021;68,14Ê$
15/03/2021;68,18Ê$
16/03/2021;66,89Ê$
17/03/2021;66,76Ê$
18/03/2021;64,79Ê$
19/03/2021;62,47Ê$
22/03/2021;63,22Ê$
23/03/2021;62,27Ê$
24/03/2021;61,61Ê$
25/03/2021;61,63Ê$
26/03/2021;62,56Ê$
29/03/2021;62,86Ê$
30/03/2021;63,37Ê$
31/03/2021;63,07Ê$
01/04/2021;61,77Ê$
05/04/2021;61,70Ê$
06/04/2021;61,33Ê$
07/04/2021;60,68Ê$
08/04/2021;61,22Ê$
09/04/2021;61,14Ê$
12/04/2021;61,46Ê$
13/04/2021;61,85Ê$
14/04/2021;63,39Ê$
15/04/2021;64,48Ê$
16/04/2021;65,21Ê$
19/04/2021;65,10Ê$
20/04/2021;65,36Ê$
21/04/2021;64,02Ê$
22/04/2021;63,06Ê$
23/04/2021;63,63Ê$
26/04/2021;63,22Ê$
27/04/2021;63,91Ê$
28/04/2021;64,53Ê$
29/04/2021;65,71Ê$
30/04/2021;65,42Ê$
03/05/2021;65,09Ê$
04/05/2021;66,67Ê$
05/05/2021;68,20Ê$
06/05/2021;67,49Ê$
07/05/2021;66,57Ê$
10/05/2021;67,10Ê$
11/05/2021;66,39Ê$
12/05/2021;67,46Ê$
13/05/2021;66,78Ê$
14/05/2021;66,16Ê$
17/05/2021;67,52Ê$
18/05/2021;68,39Ê$
19/05/2021;65,95Ê$
20/05/2021;65,29Ê$
21/05/2021;64,18Ê$
24/05/2021;66,93Ê$
25/05/2021;67,41Ê$
26/05/2021;67,47Ê$
27/05/2021;67,32Ê$
28/05/2021;68,20Ê$
31/05/2021;68,53Ê$
01/06/2021;69,03Ê$
02/06/2021;69,39Ê$
03/06/2021;69,91Ê$
04/06/2021;70,23Ê$
07/06/2021;70,15Ê$
08/06/2021;69,83Ê$
09/06/2021;71,21Ê$
10/06/2021;70,90Ê$
11/06/2021;71,31Ê$
14/06/2021;71,99Ê$
15/06/2021;72,05Ê$
16/06/2021;73,16Ê$
17/06/2021;72,29Ê$
18/06/2021;71,56Ê$
21/06/2021;72,45Ê$
22/06/2021;73,13Ê$
23/06/2021;74,01Ê$
24/06/2021;74,09Ê$
25/06/2021;74,19Ê$
28/06/2021;73,84Ê$
29/06/2021;73,34Ê$
30/06/2021;73,60Ê$
01/07/2021;74,84Ê$
02/07/2021;75,21Ê$
05/07/2021;75,71Ê$
06/07/2021;75,94Ê$
07/07/2021;73,58Ê$
08/07/2021;71,97Ê$
09/07/2021;74,18Ê$
12/07/2021;74,33Ê$
13/07/2021;75,13Ê$
14/07/2021;75,29Ê$
15/07/2021;73,15Ê$
16/07/2021;72,84Ê$
19/07/2021;70,54Ê$
20/07/2021;70,50Ê$
21/07/2021;69,93Ê$
22/07/2021;72,09Ê$
23/07/2021;73,03Ê$
26/07/2021;72,68Ê$
27/07/2021;73,62Ê$
28/07/2021;73,57Ê$
29/07/2021;74,42Ê$
30/07/2021;74,98Ê$
02/08/2021;73,89Ê$
03/08/2021;72,71Ê$
04/08/2021;71,83Ê$
05/08/2021;70,34Ê$
06/08/2021;71,30Ê$
09/08/2021;70,66Ê$
10/08/2021;70,13Ê$
11/08/2021;70,52Ê$
12/08/2021;71,32Ê$
13/08/2021;70,90Ê$
16/08/2021;69,65Ê$
17/08/2021;69,40Ê$
18/08/2021;69,32Ê$
19/08/2021;66,08Ê$
20/08/2021;66,13Ê$
23/08/2021;67,33Ê$
24/08/2021;69,71Ê$
25/08/2021;70,59Ê$
26/08/2021;70,75Ê$
27/08/2021;71,48Ê$
30/08/2021;71,88Ê$
31/08/2021;71,43Ê$
01/09/2021;71,27Ê$
02/09/2021;71,64Ê$
03/09/2021;72,58Ê$
06/09/2021;71,30Ê$
07/09/2021;71,35Ê$
08/09/2021;71,17Ê$
09/09/2021;71,82Ê$
10/09/2021;71,98Ê$
13/09/2021;72,77Ê$
14/09/2021;73,29Ê$
15/09/2021;73,78Ê$
16/09/2021;74,17Ê$
17/09/2021;74,14Ê$
20/09/2021;73,47Ê$
21/09/2021;73,68Ê$
22/09/2021;74,46Ê$
23/09/2021;75,44Ê$
24/09/2021;76,21Ê$
27/09/2021;77,73Ê$
28/09/2021;78,37Ê$
29/09/2021;77,13Ê$
30/09/2021;77,72Ê$
01/10/2021;76,36Ê$
04/10/2021;78,25Ê$
05/10/2021;80,45Ê$
06/10/2021;80,65Ê$
07/10/2021;78,60Ê$
08/10/2021;81,54Ê$
11/10/2021;82,53Ê$
12/10/2021;82,37Ê$
13/10/2021;81,79Ê$
14/10/2021;82,50Ê$
15/10/2021;83,54Ê$
18/10/2021;84,04Ê$
19/10/2021;83,48Ê$
20/10/2021;83,30Ê$
21/10/2021;83,36Ê$
22/10/2021;83,40Ê$
25/10/2021;84,66Ê$
26/10/2021;84,52Ê$
27/10/2021;83,72Ê$
28/10/2021;82,41Ê$
29/10/2021;82,87Ê$
01/11/2021;82,49Ê$
02/11/2021;83,37Ê$
03/11/2021;81,58Ê$
04/11/2021;81,42Ê$
05/11/2021;80,11Ê$
08/11/2021;82,34Ê$
09/11/2021;82,64Ê$
10/11/2021;83,69Ê$
11/11/2021;81,93Ê$
12/11/2021;81,64Ê$
15/11/2021;80,90Ê$
16/11/2021;82,01Ê$
17/11/2021;81,10Ê$
18/11/2021;79,37Ê$
19/11/2021;80,32Ê$
22/11/2021;78,90Ê$
23/11/2021;79,40Ê$
24/11/2021;81,75Ê$
25/11/2021;81,31Ê$
26/11/2021;76,09Ê$
29/11/2021;74,20Ê$
30/11/2021;71,01Ê$
01/12/2021;71,63Ê$
02/12/2021;70,03Ê$
03/12/2021;71,61Ê$
06/12/2021;71,41Ê$
07/12/2021;74,61Ê$
08/12/2021;75,09Ê$
09/12/2021;75,37Ê$
10/12/2021;74,07Ê$
13/12/2021;75,04Ê$
14/12/2021;74,28Ê$
15/12/2021;73,12Ê$
16/12/2021;74,66Ê$
17/12/2021;74,23Ê$
20/12/2021;70,94Ê$
21/12/2021;72,18Ê$
22/12/2021;73,99Ê$
23/12/2021;75,16Ê$
24/12/2021;75,50Ê$
27/12/2021;75,63Ê$
28/12/2021;77,39Ê$
29/12/2021;78,17Ê$
30/12/2021;78,33Ê$
31/12/2021;77,97Ê$
